trading_day,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
20240220,3820.35,3820.35,NaN,NaN,NaN,12.1958432299,15.5366915401,5.51414660956,35.119919501,-180.321667953,3820.35,3923.0773576,3717.6226424,3820.35,3802.36078238,-20.5593347946,-6.92208380635,-27.2745019766,11.6300073731,19.7799542509,-4.66988638245,23.4707205355,-180.321667953,3820.35,3923.0773576,3717.6226424
20240221,3815.5,3810.88809524,NaN,NaN,NaN,12.9717865092,13.7563679759,11.4026235757,38.4501033664,-152.569958524,3815.5,3926.99798204,3704.00201796,3815.5,3794.61213644,-24.3153328864,-10.4007336224,-27.8291985281,17.9943021042,19.1847368687,15.6134325752,27.6727358163,-152.569958524,3815.5,3926.99798204,3704.00201796
20240222,3811.85,3803.08922902,NaN,NaN,NaN,23.0774027788,16.081677506,37.0688533245,40.0105799101,-120.486466758,3811.85,3929.4871965,3694.2128035,3811.85,3788.36336154,-26.3427919853,-13.589145295,-25.5072933807,24.2115223138,20.8603320171,30.9139029072,29.6308501925,-120.486466758,3811.85,3929.4871965,3694.2128035
20240223,3806.7,3796.31882626,NaN,NaN,NaN,36.1428189827,24.0640027569,60.3004514344,40.6185700272,-99.1795208402,3806.7,3928.76735845,3684.63264155,3806.7,3782.99542234,-27.3917380943,-16.3496638548,-22.0841484789,29.8275490922,23.8494043754,41.7838385257,30.3918976914,-99.1795208402,3806.7,3928.76735845,3684.63264155
20240226,3799.1,3786.57417614,NaN,NaN,NaN,31.1998683723,30.1400300446,33.3195450278,35.685067011,-120.892561644,3799.1,3929.10292304,3669.09707696,3799.1,3774.51966783,-30.9327444407,-19.266279972,-23.3329289374,25.1830459732,24.2939515747,26.9612347701,26.4846517318,-120.892561644,3799.1,3929.10292304,3669.09707696
20240227,3795.8,3783.09092127,NaN,NaN,NaN,36.6445916115,34.6624263222,40.6089221901,46.0789580058,-84.2900422546,3795.8,3927.26193365,3664.33806635,3795.8,3772.18446137,-28.8872907868,-21.190482135,-15.3936173037,34.4487414655,27.6788815383,47.98846132,38.9424529957,-84.2900422546,3795.8,3927.26193365,3664.33806635
20240228,3790.4,3778.98702401,NaN,NaN,NaN,38.4105960265,35.4183520034,44.3950840726,44.6900489079,-62.8900284209,3790.4,3921.71397488,3659.08602512,3790.4,3769.11927458,-27.7532482855,-22.5030353651,-10.5004258409,38.418366275,31.2587097839,52.7376792574,37.7134407985,-62.8900284209,3790.4,3921.71397488,3659.08602512
20240229,3782.8,3774.41683124,NaN,NaN,NaN,46.5783664459,40.544518028,58.6460632818,43.4215114311,-72.1184803606,3782.8,3909.30312249,3656.29687751,3782.8,3765.48886747,-27.2664258325,-23.4557134586,-7.62142474795,39.0780278478,33.8651491385,49.5037852664,36.5940779459,-72.1184803606,3782.8,3909.30312249,3656.29687751
20240301,3773.35,3768.18665684,NaN,NaN,NaN,41.2992746768,42.0960790497,39.7056659308,40.4024947699,-80.070595885,3773.35,3892.01301024,3654.68698976,3773.35,3760.10897533,-28.3292694852,-24.4304246639,-7.79768964268,38.4329709462,35.3877564077,44.523400023,33.9420524893,-80.070595885,3773.35,3892.01301024,3654.68698976
20240304,3763.85,3762.64507047,NaN,NaN,NaN,38.5451487438,42.1409299555,31.3535863205,40.6046453796,-94.7876938724,3763.85,3870.21968553,3657.48031447,3763.85,3755.33669197,-28.7593689911,-25.2962135293,-6.92631092349,38.3203933292,36.3653020482,42.2305758911,34.1755681445,-94.7876938724,3763.85,3870.21968553,3657.48031447
20240305,3753.15,3755.44077805,NaN,NaN,NaN,28.1904761905,36.0116332037,12.5481621641,37.4576238194,-104.491805113,3753.15,3844.12092942,3662.17907058,3753.15,3748.82843559,-30.6033572764,-26.3576422788,-8.49142999529,28.6580399972,33.7962146979,18.3816905959,31.4240894883,-104.491805113,3753.15,3844.12092942,3662.17907058
20240306,3744.2,3747.87498966,NaN,NaN,NaN,19.2186147186,28.6514132176,0.353017720567,36.0197708634,-130.80519161,3744.2,3828.28947615,3660.11052385,3744.2,3741.89239411,-32.5768141122,-27.6014766454,-9.95067493346,22.5144509072,30.0356267677,7.47209918639,30.172916863,-130.80519161,3744.2,3828.28947615,3660.11052385
20240307,3737.55,3742.26784779,NaN,NaN,NaN,14.8535353535,20.7542087542,3.05218855219,38.9999331356,-109.594622123,3737.55,3816.87836819,3658.22163181,3737.55,3736.85502324,-32.7146869708,-28.6241187105,-8.18113652061,23.3429672715,27.804740269,14.4194212766,33.540711263,-109.594622123,3737.55,3816.87836819,3658.22163181
20240308,3730.6,3737.38519562,NaN,NaN,NaN,20.8333333333,18.3018278018,25.8963443963,39.4670838789,-103.335639075,3730.6,3800.05329366,3661.14670634,3730.6,3732.48787817,-32.2903459117,-29.3573641507,-5.86596352188,24.6528872719,26.7541226033,20.4504166092,34.0675674634,-103.335639075,3730.6,3800.05329366,3661.14670634
20240311,3723.55,3727.34851032,-47.4370328751,-46.2223861546,-1.21464672043,17.4242424242,17.7037037037,16.8653198653,31.7439380483,-167.091541136,3723.55,3802.35222078,3644.74777922,3723.55,3722.91760406,-36.2964565245,-30.7451826255,-11.102547798,16.4352581813,23.3145011293,2.67677228527,27.2137630752,-167.091541136,3723.55,3802.35222078,3644.74777922
20240312,3716.75,3719.12484267,-48.615449343,-46.7009987923,-1.9144505507,13.5353535354,17.2643097643,6.07744107744,33.8697959923,-176.728869374,3716.75,3799.31118943,3634.18881057,3716.75,3715.11592748,-38.3035636254,-32.2568588255,-12.0934095999,15.401283232,20.6767618302,4.85032603554,29.5423575838,-176.728869374,3716.75,3799.31118943,3634.18881057
20240313,3708.55,3708.44628623,-51.696938606,-47.7001867551,-3.99675185096,5.85289514867,12.2708303694,-6.98297529283,30.0607679148,-177.307794626,3708.55,3800.02562517,3617.07437483,3708.55,3704.81917248,-42.1518262985,-34.2358523201,-15.8319479568,11.6759728589,17.6764988397,-0.325079102872,26.1400601629,-177.307794626,3708.55,3800.02562517,3617.07437483
20240314,3697.75,3693.9275923,-57.5904479875,-49.6782390016,-7.91220898596,6.62360805811,8.67061891404,2.52958634624,25.4392752324,-225.67016317,3697.75,3806.14903136,3589.35096864,3697.75,3690.64591796,-48.7548602868,-37.1396539134,-23.2304127468,8.55469481535,14.6358974983,-3.60771055049,22.0398055462,-225.67016317,3697.75,3806.14903136,3589.35096864
20240315,3685.1,3679.55353589,-62.5886055031,-52.2603123019,-10.3282932012,2.55369544887,5.01006621855,-2.35904609048,24.4091438783,-216.849760173,3685.1,3803.29120103,3566.90879897,3685.1,3676.58440196,-54.4096036077,-40.5936438523,-27.6319195109,6.07766171211,11.7831522362,-5.33331933611,21.1299738497,-216.849760173,3685.1,3803.29120103,3566.90879897
20240318,3674.6,3667.2151039,-65.2328758585,-54.8548250132,-10.3780508453,11.6557552552,6.94435292071,21.078559924,26.143412945,-196.68834216,3674.6,3801.3144822,3547.8855178,3674.6,3664.52874463,-57.6615010403,-44.0072152899,-27.3085715008,14.5622849852,12.7095298192,18.2677953173,22.9738463483,-196.68834216,3674.6,3801.3144822,3547.8855178
20240319,3668.6,3659.28985591,-63.848952338,-56.6536504782,-7.19530185989,26.5006579613,13.5700362218,52.3619014404,34.057131634,-116.485325043,3668.6,3800.43838591,3536.76161409,3668.6,3656.85934038,-56.8399220938,-46.5737566507,-20.5323308863,25.3238056058,16.9142884147,42.1428399879,31.366866913,-116.485325043,3668.6,3800.43838591,3536.76161409
20240320,3661.95,3652.50034582,-61.717970066,-57.6665143957,-4.05145567029,42.3423423423,26.8329185196,73.3611899878,34.9403515294,-82.4116117515,3661.95,3795.9447387,3527.9552613,3661.95,3650.30130797,-55.229398166,-48.3048849537,-13.8490264245,33.0987532867,22.3091100387,54.6780397827,32.3014654588,-82.4116117515,3661.95,3795.9447387,3527.9552613
20240321,3657.3,3650.92888432,-55.5159985416,-57.2364112249,1.7204126833,55.4681954682,41.4370652573,83.53045589,44.5398393522,-50.034597355,3657.3,3788.08088545,3526.51911455,3657.3,3648.93927864,-49.5091369899,-48.545735361,-1.92680325789,45.7021991609,30.1068064128,76.892984657,42.4321187291,-50.034597355,3657.3,3788.08088545,3526.51911455
20240322,3651.8,3648.17375248,-51.1410522072,-56.0173394214,4.87628721418,65.8599058599,54.5568145568,88.4660884661,42.5670470928,-34.6312488024,3651.8,3778.7481784,3524.8518216,3651.8,3646.37363305,-45.5800533108,-47.9525989509,4.74509128034,56.4754587812,38.8963572023,91.6336619392,40.5272007819,-34.6312488024,3651.8,3778.7481784,3524.8518216
20240325,3647.3,3643.96672843,-48.5664811223,-54.5271677615,5.96068663925,72.3543123543,64.5608045608,87.9413279413,40.1073275772,-42.4984690753,3647.3,3774.32613904,3520.27386096,3647.3,3642.33804895,-43.4181780258,-47.0457147659,7.25507348016,60.3609285648,46.0512143231,88.9803570481,38.1554590684,-42.4984690753,3647.3,3774.32613904,3520.27386096
20240326,3635.4,3631.39846858,-53.3349341911,-54.2887210475,0.953786856318,55.1436515292,64.4526232478,36.525708092,30.4290096129,-114.463338819,3635.4,3766.24708633,3504.55291367,3635.4,3629.92490143,-48.5686383806,-47.3502994889,-2.43667778358,46.6663218544,46.2562501669,47.4864652295,28.8592508487,-114.463338819,3635.4,3766.24708633,3504.55291367
20240327,3622.8,3617.74147157,-58.3776260919,-55.1065020564,-3.27112403556,30.7427512247,52.7469050361,-13.2655563981,28.4971078256,-150.56231814,3622.8,3759.33951809,3486.26048191,3622.8,3616.40824415,-53.9649405005,-48.6732276912,-10.5834256186,32.7173069391,41.743269091,14.6653826354,27.0104542031,-150.56231814,3622.8,3759.33951809,3486.26048191
20240328,3611.1,3606.2422838,-60.9452322695,-56.274248099,-4.67098417054,13.9253145177,33.2705724239,-24.7652012945,30.2845909803,-142.901133395,3611.1,3748.64693744,3473.55306256,3611.1,3605.03603042,-56.8598787368,-50.3105579003,-13.0986416729,27.7047239631,37.0637540483,8.98666379259,28.8511744034,-142.901133395,3611.1,3748.64693744,3473.55306256
20240329,3598.4,3591.83825678,-65.6127843202,-58.1419553432,-7.47082897693,9.92679617251,18.198287305,-6.61618609241,26.9044561035,-155.481926583,3598.4,3744.10710346,3452.69289654,3598.4,3590.74688467,-61.8304442639,-52.614535173,-18.4318181818,20.8970004414,31.6748361794,-0.658671034487,25.6058522342,-155.481926583,3598.4,3744.10710346,3452.69289654
20240401,3587.15,3581.6631847,-66.1288118889,-59.7393266524,-6.38948523656,19.6591682839,14.5037596581,29.9699855356,32.683922796,-142.635993808,3587.15,3731.39045896,3442.90954104,3587.15,3580.6757528,-62.626979144,-54.6170239672,-16.0199103536,25.2701314418,29.5399346002,16.7305251251,31.5303190635,-142.635993808,3587.15,3731.39045896,3442.90954104
20240402,3577.85,3573.98097663,-64.5031490224,-60.6920911264,-3.81105789605,27.2905724442,18.9588456335,43.9540260654,35.6081504135,-83.9228589708,3577.85,3719.09344233,3436.60655767,3577.85,3573.08758586,-61.2609938889,-55.9458179516,-10.6303518747,30.3713444585,29.8170712196,31.4798909362,34.5251243615,-83.9228589708,3577.85,3719.09344233,3436.60655767
20240403,3566.95,3562.93516934,-65.9246023433,-61.7385933698,-4.18600897352,32.5136612022,26.4878006434,44.5653823197,31.6312730229,-96.492920606,3566.95,3709.85062981,3424.04937019,3566.95,3562.1268634,-62.9228459667,-57.3412235546,-11.1632448242,27.8978361964,29.1773262119,25.3388561654,30.6456547881,-96.492920606,3566.95,3709.85062981,3424.04937019
20240408,3559.85,3561.41753416,-59.1872839782,-61.2283314915,2.04104751323,36.9186201741,32.2409512735,46.2739579753,45.2587066228,1.41285699869,3559.85,3691.45284951,3428.24715049,3559.85,3560.68620974,-56.4080822559,-57.1545952948,1.49302607795,34.3423142503,30.8989888914,41.2289649683,44.5370610263,1.41285699869,3559.85,3691.45284951,3428.24715049
20240409,3554.25,3563.09205472,-50.6815526782,-59.1189757288,8.4374230506,42.6122710525,37.3481841429,53.1404448716,49.1808933234,11.0685398042,3554.25,3671.83890254,3436.66109746,3554.25,3562.43038024,-48.1083889525,-55.3453540264,14.4739301478,42.1131172092,34.637031664,57.0652882998,48.5289650579,11.0685398042,3554.25,3671.83890254,3436.66109746
20240410,3551.3,3564.03566855,-43.9185831106,-56.0788972052,12.1603140945,53.5287730727,44.3532214331,71.879876352,48.4795068958,29.2626394321,3551.3,3663.7883994,3438.8116006,3551.3,3563.4370107,-41.5361689689,-52.5835170149,22.094696092,46.6421867171,38.638750015,62.6490601213,47.8337840373,29.2626394321,3551.3,3663.7883994,3438.8116006
20240411,3549.25,3567.46084298,-35.9656174026,-52.0562412447,16.0906238421,59.2833876221,51.8081439158,74.2338750349,51.8100468352,53.5346602608,3549.25,3656.49714448,3442.00285552,3549.25,3566.91920015,-33.7598009593,-48.8187738038,30.1179456889,52.5931624803,43.2902208368,71.1990457672,51.2201547001,53.5346602608,3549.25,3656.49714448,3442.00285552
